Date,Open,High,Low,Close,Adj Close,Volume
2011-01-24,3.250000,3.420000,3.250000,3.310000,2.945458,6121476
2011-01-25,3.350000,3.379000,3.185000,3.210000,2.856471,8419461
2011-01-26,3.210000,3.250000,3.163000,3.174000,2.824436,10966562
2011-01-27,3.200000,3.242000,3.130000,3.130000,2.785282,20280100
2011-01-28,3.100000,3.127000,3.030000,3.040000,2.705194,33814173
2011-01-31,3.000000,3.031000,2.910000,3.000000,2.669600,6031079
2011-02-01,3.020000,3.105000,3.001000,3.035000,2.700745,13601617
2011-02-02,3.150000,3.150000,2.930000,3.026000,2.692736,18260026
2011-02-03,3.090000,3.090000,2.965000,3.078000,2.739009,11012970
2011-02-04,3.077000,3.107000,3.021000,3.060000,2.722991,23457142
2011-02-07,3.105000,3.220000,3.070000,3.220000,2.865370,18549032
2011-02-08,3.180000,3.210000,3.133000,3.150000,2.803079,13163035
2011-02-09,3.162000,3.170000,3.042000,3.045000,2.709644,8300719
2011-02-10,3.000000,3.000000,2.860000,2.965000,2.638454,7246985
2011-02-11,2.975000,2.980000,2.891000,2.928000,2.605529,14226967
2011-02-14,2.992000,2.992000,2.883000,2.909000,2.588622,5324968
2011-02-15,2.910000,2.960000,2.870000,2.960000,2.634005,2958552
2011-02-16,2.985000,3.030000,2.964000,3.030000,2.696295,6513305
2011-02-17,3.018000,3.034000,2.967000,2.979000,2.650912,3601088
2011-02-18,2.970000,3.009000,2.935000,2.937000,2.613538,1571731
2011-02-21,2.969000,2.969000,2.850000,2.858000,2.543238,8766842
2011-02-22,2.810000,2.834000,2.719000,2.811000,2.501415,6308118
2011-02-23,2.760000,2.810000,2.735000,2.752000,2.448913,2671919
2011-02-24,2.712000,2.715000,2.622000,2.647000,2.355477,5335353
2011-02-25,2.641000,2.727000,2.623000,2.623000,2.334120,26600152
2011-02-28,2.670000,2.671000,2.610000,2.638000,2.347468,5445369
2011-03-01,2.650000,2.724000,2.611000,2.649000,2.357256,3103535
2011-03-02,2.630000,2.699000,2.583000,2.664000,2.370604,4473239
2011-03-03,2.700000,2.744000,2.675000,2.707000,2.408869,2267608
2011-03-04,2.680000,2.750000,2.621000,2.621000,2.332340,1968742
2011-03-07,2.646000,2.710000,2.611000,2.659000,2.366155,1538654
